Step,LeftCmd,LeftFt,RightCmd,RightFt,AngleCmd,Angle,LeftSegVel,left,ActLeftVel,RightSegVel,right,ActRightVel,turn
Number,FT,FT,FT,FT,Deg,Deg,pct,pct,pct,pct,pct,pct,pct
1.0,0.002518,0.0,0.002518,0.0,1.049544089120642,-0.009999999776482582,1.5653333333333333E-4,0.5338818688890948,0.0,1.5653333333333333E-4,0.4809046644442386,0.0,-0.026488602222428118
2.0,0.014783,0.0,0.014588,0.0,1.0464501170269356,-0.009999999776482582,0.032706933333333334,-0.2615192137465812,0.0,0.032186,-0.3143417195867521,0.0,-0.026411252920085455
3.0,0.032137,0.005773672055427252,0.031669,0.0,1.0412934968707581,0.0,0.046276533333333335,1.1379558691384744,0.0025660764690787785,0.04554893333333333,1.071417062578231,0.0,-0.026032337421768956
4.0,0.054448,0.008852963818321785,0.05363,0.0,1.0340742286521099,0.019999999552965164,0.05949693333333333,0.5856999999153155,0.008981267641775726,0.05856426666666667,0.5305817776058547,0.0,-0.02535185572747862
5.0,0.081717,0.024441878367975366,0.080473,0.001539645881447267,1.0248496081505034,0.009999999776482582,0.0727164,0.5904844100322914,0.014883243520656916,0.07158066666666667,0.5392807326928819,2.5660764690787786E-4,-0.025371240209350523
6.0,0.113943,0.05369515011547344,0.112198,0.013664357197844496,1.0136196353659392,-0.10999999940395355,0.08593453333333333,0.6040464458271548,0.0313061329227611,0.08459826666666667,0.5557743686455165,0.0056453682319733125,-0.02634049086179674
7.0,0.151124,0.1195150115473441,0.148804,0.05985373364126251,1.0003843102984173,0.23999999463558197,0.09915120000000001,0.599817537760701,0.09289196818065178,0.09761746666666667,0.5718217386827171,0.04182704644598409,-0.019009607891570884
8.0,0.193262,0.1859122401847575,0.190293,0.11874518860662048,0.9852009287274505,0.47999998927116394,0.11236613333333333,0.5978447514309799,0.13702848344880678,0.11063826666666668,0.5845798865982733,0.09109571465229663,-0.012630023486407163
9.0,0.240354,0.3285219399538106,0.236666,0.25115473441108543,0.968069490653039,0.9399999976158142,0.1255792,0.5706876884943068,0.2232486528098537,0.1236612,0.5805546091962244,0.19399538106235564,-0.0024517371471166867
10.0,0.2924,0.45669745958429564,0.287924,0.3714395688991532,0.9491045876342087,0.9200000166893005,0.13878986666666665,0.557792976398334,0.29894790864767773,0.13668626666666667,0.5731873150566313,0.273030536309982,-7.276142736227037E-4
11.0,0.349399,0.6645496535796767,0.344066,0.5789068514241724,0.9282489238914468,1.1799999475479126,0.1519982666666667,0.5171741950013521,0.40338722093918394,0.14971373333333335,0.5464365868308266,0.38722093918398764,0.006293775591411647
12.0,0.411351,0.8212086220169361,0.405095,0.7211316397228638,0.9056170909837792,1.159999966621399,0.16520386666666667,0.5003462081706453,0.4559917885552989,0.16274386666666668,0.5337780133074147,0.44110854503464203,0.006359571890940494
13.0,0.478253,1.050230946882217,0.471012,0.9593918398768283,0.8812663846907193,1.1699999570846558,0.17840666666666666,0.46249194329215315,0.5011547344110855,0.17577693333333333,0.4945771540134666,0.49063382088786245,0.007218339309848412
14.0,0.550106,1.2049653579676673,0.541817,1.1145111624326405,0.8552541007917798,1.1100000143051147,0.1916064,0.4501081114385331,0.514754939697203,0.18881306666666667,0.48008663244137467,0.5183474467539132,0.006368647837833375
15.0,0.626907,1.434949961508853,0.617511,1.344495765973826,0.8275802392869611,1.059999942779541,0.20480266666666666,0.4168329184831925,0.5155247626379266,0.20185253333333333,0.4444045299386705,0.5216833461637156,0.005310493064151656
16.0,0.708655,1.5850654349499615,0.698097,1.4984603541185528,0.7983593917352891,0.9399999976158142,0.21799546666666667,0.4097035210346651,0.5114190402874006,0.21489560000000002,0.43229374224478057,0.5162945855786503,0.003541015147013127
17.0,0.795349,1.8011932255581216,0.783576,1.7219014626635873,0.767648853916277,0.9100000262260437,0.2311844,0.38245721969148605,0.4973056197074673,0.2279425333333333,0.402605840508668,0.5093661791121374,0.003558779307744167
18.0,0.886988,1.9418783679753657,0.873948,1.8623941493456504,0.7355632173889509,0.9900000095367432,0.2443692,0.37853186938646305,0.48498845265588914,0.24099346666666666,0.40006520875056556,0.4988452655889145,0.00436092022092732
19.0,0.983569,2.1418398768283295,0.969216,2.064665127020785,0.7021597779328239,0.9599999785423279,0.25754973333333336,0.35701363193626356,0.4649730561970747,0.25404866666666664,0.38175313357566876,0.47164485501667947,0.0064460050152376
20.0,1.085091,2.279445727482679,1.069382,2.203040800615858,0.6674958313274091,1.059999942779541,0.2707258666666667,0.3556415111101335,0.4518860662047729,0.26710853333333334,0.3841210304603054,0.45522196561457534,0.008562603978396194
21.0,1.191552,2.472863741339492,1.174447,2.398960739030023,0.6316859691317326,1.0499999523162842,0.2838972,0.33921799468520547,0.4462406979727996,0.2801729333333334,0.3704853612039403,0.45034642032332567,0.010457849579613791
22.0,1.302951,2.601039260969977,1.284413,2.5265588914549655,0.5947874871253076,1.0399999618530273,0.29706346666666666,0.34506030984081393,0.43648960739030024,0.29324253333333333,0.3776048777650368,0.4413651526815499,0.011130311868192994
23.0,1.419285,2.783487297921478,1.399282,2.710739030023095,0.5569722726466733,1.1200000047683716,0.31022466666666665,0.3338168839871808,0.4210931485758275,0.30631719999999996,0.3715048176294474,0.4226327944572748,0.01407569330304246
24.0,1.540553,2.8987682832948423,1.519056,2.827944572748268,0.5182403256958296,1.1100000143051147,0.3233802666666667,0.34641948946298173,0.4100590197587888,0.31939733333333337,0.38475322039075177,0.41211188093405177,0.01479399221523213
